LandmarkID,Name,Functn,Structure,EditBy,EditDate,Location 1,EditState
7000280,Bon Secours Richmond Community Hospital,6530: Hospital,4110: Hospital building,georgeae,09/06/2007 08:29:27 AM,"(37.54021505, -77.4066626599999)",complete
7000524,Christ Ascension Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 02:15:37 PM,"(37.58435995, -77.46413465)",complete
7001443,Chicago Avenue Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 02:15:11 PM,"(37.48418783, -77.47666922)",complete
7000936,C D King Hall,6130: Colleges and Universities,4220: College or university facility,georgeae,09/05/2007 02:13:46 PM,"(37.55700771, -77.4538865499999)",complete
7001582,Central Virginia Food Bank,6563: Community food services,2730: Warehouse structure,georgeae,09/05/2007 02:13:35 PM,"(37.5664706499999, -77.45574095)",complete
7001600,Brookhill Azalea Shopping Center,2000: General sales or services,9000: No structure,georgeae,09/05/2007 02:09:06 PM,"(37.59887569, -77.4561353299999)",needs research
7001440,Union PSCE Tennis Courts,"5300: Amusement, sports, or recreation establishment",6982: Tennis courts,georgeae,09/05/2007 02:06:14 PM,"(37.57676532, -77.4504588)",complete
7001441,Union PSCE Soccer Fields,"5300: Amusement, sports, or recreation establishment",6980: Other installed recreational or athletic equipment,georgeae,09/05/2007 02:06:09 PM,"(37.57615793, -77.45068799)",complete
7001439,Union PSCE Faculty Homes,1000: Residence or accommodation functions,1000: Residential buildings,georgeae,09/05/2007 02:06:05 PM,"(37.5754863299999, -77.4521701999999)",complete
7001435,Rice Apartments,1000: Residence or accommodation functions,1120: Attached units,georgeae,09/05/2007 02:05:03 PM,"(37.5777871299999, -77.45290833)",complete
7001431,DuBose Hall,6130: Colleges and Universities,4220: College or university facility,georgeae,09/05/2007 02:04:44 PM,"(37.57992892, -77.4512685699999)",complete
7001428,Presidents Home,1100: Private household,1100: Single-family buildings,georgeae,09/05/2007 02:04:29 PM,"(37.57793087, -77.44958201)",complete
7001426,Media Technology Center,6130: Colleges and Universities,4220: College or university facility,georgeae,09/05/2007 02:04:16 PM,"(37.5784524099999, -77.44817043)",complete
7001427,Early Center for Christian Education and Worship,6200: Public administration,4220: College or university facility,georgeae,09/05/2007 02:04:12 PM,"(37.57845248, -77.44916664)",complete
7001425,Seminary Relations Center,6130: Colleges and Universities,4220: College or university facility,georgeae,09/05/2007 02:02:05 PM,"(37.57842911, -77.44702594)",complete
7001424,Thompson Hall,1320: Rooming and boarding,1320: Dormitories,georgeae,09/05/2007 02:01:42 PM,"(37.5793750699999, -77.44700168)",complete
7001423,Moore Hall,1320: Rooming and boarding,1320: Dormitories,georgeae,09/05/2007 02:01:26 PM,"(37.5793450099999, -77.4475635099999)",complete
7001422,Richmond Hall and Belk Center,6130: Colleges and Universities,4200: School or university buildings,georgeae,09/05/2007 02:01:08 PM,"(37.57932625, -77.4484113799999)",complete
7000158,Broad Rock Industrial Park,3000: Manufacturing and wholesale trade,2614: Industrial parks,georgeae,09/05/2007 01:54:59 PM,"(37.48636668, -77.4590145399999)",complete
7000437,Boulevard Baptist Church,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:52:57 PM,"(37.56508903, -77.4716110899999)",complete
7000034,Boulders Office Park,"2400: Business, professional, scientific, and technical services",2100: Office or bank building,georgeae,09/05/2007 01:51:59 PM,"(37.5112243299999, -77.53226234)",complete
7000208,Bon Air Church of Jesus Christ of Latter Day Saints,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:49:25 PM,"(37.5350804999999, -77.5915320299999)",complete
7000007,Beaufont Mall,2100: Retail sales or service,"2500: Malls, shopping centers, or collection of shops",georgeae,09/05/2007 01:48:46 PM,"(37.50322993, -77.5290662099999)",complete
7000081,Central United Methodist,6600: Religious institutions,"3500: Churches, synagogues, temples, mosques, etc",georgeae,09/05/2007 01:23:05 PM,"(37.52239376, -77.44655994)",complete
